nid,xx,xy,xz,vx,vy,vz,ns
2290,0.22781676912358811,-0.0825108815634311,-0.9702017698034338,0.0188616776882012,0.9965901637200848,-0.08032610217831417,GUI_Y
2300,0.22873093924038868,-0.13555571522564935,-0.9640056044981649,0.03129464423380044,0.9907697250469771,-0.13189388603198104,GUI_Y
2310,0.23313990180703933,-0.10653585420622541,-0.9665898292212443,0.024979922792528742,0.9943088613547352,-0.10356588091031438,GUI_Y
2320,0.23361147722144476,-0.10653585420622541,-0.9664759642531026,0.02503045003969406,0.9943088613547352,-0.10355368077601344,GUI_Y
2330,0.23117109442907377,-0.10749278089991958,-0.9669566831843431,0.02499404266055122,0.9942058650271592,-0.10454662011313738,GUI_Y
2340,0.23117109442907377,-0.10749278089991958,-0.9669566831843431,0.02499404266055122,0.9942058650271592,-0.10454662011313738,GUI_Y
2350,0.23360920093074633,-0.10653585420622541,-0.966476514463258,0.025030206145082032,0.9943088613547352,-0.10355373972862986,GUI_Y
2360,0.23313762524816184,-0.10653585420622541,-0.9665903783207226,0.024979678869182495,0.9943088613547352,-0.1035659397439266,GUI_Y
2370,0.2311605590430848,-0.11640207753119373,-0.9659271982345825,0.027091734239818376,0.993202172946889,-0.11320548391953938,GUI_Y
2380,0.23185692522879633,-0.11372617933341914,-0.9660790456053125,0.026540392827565117,0.9935121318505492,-0.11058594582647263,GUI_Y
3070,0.24627201803905932,0.0,-0.9692007496545643,0.0,1.0,0.0,GUI_Y
4070,6.123233995736766e-17,0.0,-1.0,0.0,1.0,0.0,GUI_Y
4260,6.123233995736766e-17,0.0,-1.0,0.0,1.0,0.0,GUI_Y
249,0.08818088129030366,-0.9846579564275091,-0.15057503451391613,0.49759429072524225,0.17449558402435766,-0.8496771227905582,ANC
1230,0.9737103421765059,0.0222548646482197,0.22670000118659298,-0.021675160162323105,0.999752329829488,-0.005046427691765768,ANC
2014,0.13453460919527785,0.9656398815107974,0.22235120454921561,-0.4998847772983883,0.25988385720512397,-0.8261813300901489,ANC
380,0.9356650460504428,0.040049420652970125,0.3506094201597902,-0.03750293161746156,0.9991977001101241,-0.014052978856262187,+Y
390,0.9911271593706211,0.079368525391744,0.10661890608641378,-0.07891324536389395,0.9968453426570945,-0.008488965131144133,+Y
505,0.9909607768137644,0.08030440337726576,0.10746134940006054,-0.07983635454496464,0.9967703861964506,-0.008657580190175283,+Y
515,0.9902405187342213,0.08098979576222137,0.11342119748695163,-0.0804637062227896,0.9967149306508826,-0.009216235592634398,+Y
520,0.989728833648432,0.08081504775194971,0.11792270308029908,-0.08024746320188933,0.9967291146830467,-0.009561202477268672,+Y
533,0.9881030507734158,0.08029237113589223,0.13116972283894207,-0.07959411798478705,0.9967713554960216,-0.010566042061607469,+Y
540,0.9872569262504383,0.0805324223843412,0.13725265212536597,-0.07976527020692133,0.9967519896869582,-0.011089306736977205,+Y
545,0.9861316881298627,0.08068050991076875,0.1450343027931166,-0.07982182547857418,0.9967400139056013,-0.011739712804396046,+Y
550,0.9848563388254189,0.08081608261412501,0.15338432992420903,-0.07985342935142947,0.99672903077562,-0.012436600416084005,+Y
560,0.9822594388341717,0.08102019613296504,0.1691216208524329,-0.07984534716445028,0.9967124599494961,-0.013747462224444717,+Y
565,0.9807807218770936,0.08115642869438423,0.1774339586319943,-0.0798600890798024,0.9967013765825616,-0.014447563482909419,+Y
570,0.9800309509055338,0.07889269706090866,0.18252473152329482,-0.0775590275918041,0.9968831136850778,-0.014444891434624102,+Y
